900 Pine Street,Lower Nob Hill,San Francisco,1690,37.7909972,-122.410952
200 O'Farrell Street,Tenderloin,San Francisco,1691,37.7864817,-122.4084361
800 Mission Street,South of Market,San Francisco,1692,37.7846633,-122.4042931
700 Folsom Street,South of Market,San Francisco,1694,37.7838038,-122.3989875
5th Street,Treasure Island,San Francisco,1695,37.7823695,-122.4052901
4700 18th Street,Eureka Valley,San Francisco,1696,37.7574986,-122.4379842
400 Burnett Avenue,Twin Peaks,San Francisco,1697,37.7563392,-122.4444995
3500 20th Street,Mission District,San Francisco,1698,37.7586399,-122.4190849
900 Sanchez Street,Dolores Heights,San Francisco,1699,37.7547499,-122.4302118
3900 25th Street,Noe Valley,San Francisco,1700,37.750202,-122.4275638
600 28th Street,Noe Valley,San Francisco,1701,37.7447648,-122.4356996
100 Randall Street,Glen Park,San Francisco,1702,37.73998,-122.42595
2600 21st Street,Mission District,San Francisco,1703,37.7579298,-122.4070502
2900 24th Street,Mission District,San Francisco,1704,37.7528446,-122.4102315
0 Conkling Street,Silver Terrace,San Francisco,1705,37.7816139,-122.4019456
700 Bernal Heights Boulevard,Bernal Heights,San Francisco,1706,37.742322,-122.4131895
100 Appleton Avenue,Bernal Heights,San Francisco,1707,37.7382292,-122.4229024
100 Morningside Drive,Lakeshore,San Francisco,1710,37.7319812,-122.4923092
300 Arballo Drive,Lakeshore,San Francisco,1718,37.7212732,-122.4830412
2200 47th Avenue,Sunset District,San Francisco,1720,37.7453373,-122.5057082
200 9th Avenue,Richmond District,San Francisco,1722,37.784657,-122.4677807
300 26th Avenue,Central Richmond,San Francisco,1764,37.7838207,-122.4861036
800 Balboa Street,Richmond District,San Francisco,1768,37.777086,-122.4672508
1800 32nd Avenue,Sunset District,San Francisco,1770,37.7536261,-122.4904275
0 Lopez Avenue,West of Twin Peaks,San Francisco,1771,37.747969,-122.463497
0 Rockaway Avenue,West of Twin Peaks,San Francisco,1772,37.7432732,-122.4567035
0 Majestic Avenue,Ingleside,San Francisco,1773,37.7171423,-122.4517939
200 Byxbee Street,Oceanview,San Francisco,1774,37.7179114,-122.4698562
100 Farallones Street,Oceanview,San Francisco,1775,37.714187,-122.4562415
1800 25th Avenue,Sunset District,San Francisco,1776,37.7537805,-122.4826792
7100 Geary Boulevard,Richmond District,San Francisco,1777,37.7798113,-122.4957669
7700 Geary Boulevard,Richmond District,San Francisco,1778,37.779704,-122.502151
500 John Muir Drive,Lakeshore,San Francisco,1779,37.7121778,-122.4894776
1600 McKinnon Avenue,Bayview,San Francisco,1780,37.735871,-122.3892367
1100 Carolina Street,Potrero Hill,San Francisco,1781,37.7544286,-122.3996403
Unnamed Road,,San Francisco,1782,37.791117,-122.4186586
1500 Mansell Street,Visitacion Valley,San Francisco,1783,37.7187288,-122.4185342
700 Girard Street,Visitacion Valley,San Francisco,1944,37.7237697,-122.4031246
400 Delta Street,Visitacion Valley,San Francisco,1951,37.7144797,-122.4089184
300 Fremont Street,South of Market,San Francisco,2308,37.7875249,-122.393482
2700 Larkin Street,Russian Hill,San Francisco,2311,37.8027281,-122.4214442
2100 Webster Street,Pacific Heights,San Francisco,2312,37.790622,-122.4321701
1300 Webster Street,Western Addition,San Francisco,2313,37.7826427,-122.430705
300 Waller Street,Western Addition,San Francisco,2314,37.7715059,-122.4288618
0 Duboce Avenue,South of Market,San Francisco,2315,37.7816139,-122.4019456
2800 Folsom Street,Mission District,San Francisco,2316,37.7525843,-122.4143059
100 Coleridge Street,Bernal Heights,San Francisco,2317,37.744276,-122.419761
100 Santa Rosa Avenue,Outer Mission,San Francisco,2318,37.7271173,-122.4368013
300 Lisbon Street,Excelsior,San Francisco,2319,37.723462,-122.43269
300 Argonaut Avenue,Visitacion Valley,San Francisco,2320,37.7099978,-122.415214
400 Irving Street,Inner Sunset,San Francisco,2321,37.7643769,-122.4623591
