CNN,SP
33513000,23068000
33513000,33719000
26969000,26971000
26969000,26983000
26969000,26972000
26969000,26964000
25134000,50190000
25134000,25134000
25134000,25432000
25134000,25118000
22621000,22591000
22621000,33601000
22621000,22630000
26329000,26331000
26329000,26328000
26329000,26213000
26329000,26216000
23635000,23637000
23635000,23638000
23635000,50721000
23635000,23635000
27395000,27396000
27395000,23288000
27395000,27397000
27395000,27393000
22737000,22735000
22737000,22741000
22737000,22727000
22737000,22739000
54232000,51144000
54232000,22459000
54232000,54233000
54232000,54232000
22692000,22696000
22692000,22614000
22692000,22703000
22692000,22691000
22600000,52066000
22600000,52067000
22600000,22594000
23725000,23727000
23725000,23710000
23725000,33125000
23725000,23718000
50908000,21335000
50908000,50908000
30082000,26648000
30082000,26646000
30082000,50343000
24811000,30037000
24811000,24816000
24811000,24810000
24811000,34014000
50563000,23428000
50563000,33564000
24151000,24146000
24151000,24153000
24151000,24155000
24151000,24121000
26412000,26408000
26412000,26417000
26412000,26414000
51506000,51505000
51506000,27139000
20744000,20738000
20744000,20744000
20744000,20743000
20744000,20745000
24577000,54036000
24577000,24697000
24577000,24578000
33501000,33542000
33501000,23074000
24953000,30053000
24953000,24964000
24953000,24954000
24953000,24953000
20907000,20910000
20907000,20772000
20907000,21017000
20907000,33312000
27215000,27219000
27215000,27216000
27215000,32826000
25419000,25418000
25419000,25427000
25419000,50138000
25419000,25419000
27264000,27294000
27264000,27263000
27264000,27292000
27264000,27267000
27072000,27080000
27072000,27082000
27072000,27075000
27072000,27065000
21827000,21831000
21827000,21820000
21827000,54234000
21827000,21233000
33621000,33653000
33621000,23559000
33621000,33622000
27690000,23416000
27690000,27692000
27690000,27693000
27690000,27689000
33287000,52258000
33287000,21120000
32893000,32891000
32893000,32892000
32893000,32898000
32893000,32897000
25287000,30043000
25287000,25286000
25287000,25268000
21759000,21687000
21759000,21760000
21759000,21690000
21759000,21717000
51449000,51450000
50551000,22998000
24020000,24017000
24020000,24025000
24020000,24022000
24020000,24019000
23118000,23119000
23118000,23214000
23118000,23120000
23118000,23089000
24964000,24966000
24964000,24964000
24964000,30053000
26281000,26280000
26281000,26282000
26281000,26275000
26281000,26299000
27285000,27276000
27285000,27287000
27285000,27288000
27285000,27284000
51283000,51280000
51283000,54129000
51283000,51282000
51283000,51281000
20776000,51999000
20776000,33251000
20776000,51668000
20776000,20777000
23260000,23232000
23260000,23261000
23260000,23199000
27203000,27205000
27203000,26479000
27203000,27202000
26305000,26308000
26305000,26302000
26305000,32917000
27133000,27132000
27133000,27134000
21575000,21594000
21575000,21600000
21575000,33425000
21575000,33459000
21202000,21206000
21202000,21218000
21202000,21242000
33571000,26193000
33571000,26194000
33571000,32933000
33571000,32953000
27559000,27657000
27559000,27557000
27559000,27556000
27559000,27841000
50792000,28166000
50792000,50792000
25724000,25726000
25724000,25706000
25724000,33024000
25724000,25873000
23402000,27677000
23402000,23398000
23402000,23400000
23402000,23403000
51555000,51554000
