CNN,ST_NAMES,LAT,LONG
20205000,"['LANE ST', 'MCKINNON AVE']",37.73482338,-122.3873817
20207000,"['CASHMERE ST', 'DUKES CT']",37.73671972,-122.38657
20208000,"['NEWCOMB AVE', 'LANE ST']",37.73417046,-122.3879096
20209000,"['OAKDALE AVE', 'LANE ST']",37.73353396,-122.388482
20210000,"['LANE ST', 'PALOU AVE']",37.7329189,-122.3890351
20211000,"['LA SALLE AVE', 'MENDELL ST']",37.73648282,-122.388653
20212000,"['MENDELL ST', 'MCKINNON AVE']",37.73585632,-122.3892198
20213000,"['MCKINNON AVE', '03RD ST']",37.73639019,-122.3901451
20215000,"['MENDELL ST', 'HUDSON AVE']",37.73898305,-122.3863989
20216000,"['MENDELL ST', 'INNES AVE']",37.73835882,-122.3869617
20218000,"['MENDELL ST', 'JERROLD AVE']",37.73773066,-122.387528
20219000,"['03RD ST', 'JERROLD AVE', 'NEWHALL ST']",37.73874193,-122.3893101
20220000,"['MENDELL ST', 'GALVEZ AVE']",37.73960902,-122.3858345
20222000,"['MENDELL ST', 'KIRKWOOD AVE']",37.73710638,-122.3880908
20223000,"['KIRKWOOD AVE', '03RD ST']",37.7379554,-122.3895874
20224000,"['LA SALLE AVE', '03RD ST']",37.73716953,-122.3898645
20225000,"['NEWHALL ST', 'GALVEZ AVE']",37.7406717,-122.3877075
20226000,"['NEWHALL ST', 'HUDSON AVE']",37.74004455,-122.3882731
20227000,"['03RD ST', 'HUDSON AVE']",37.74031726,-122.3887546
20228000,"['NEWHALL ST', 'INNES AVE']",37.73942194,-122.3888345
20229000,"['INNES AVE', '03RD ST']",37.73953345,-122.389031
20230000,"['03RD ST', 'NEWHALL ST']",37.73911266,-122.3891134
20231000,"['03RD ST', 'GALVEZ AVE']",37.74110763,-122.3884759
20232000,"['MENDELL ST', 'NEWHALL ST']",37.74237875,-122.3838504
20234000,"['BURKE AVE', '03RD ST']",37.74507044,-122.3871285
20236000,"['NEWHALL ST', 'EVANS AVE']",37.74195024,-122.3865545
20237000,"['FAIRFAX AVE', 'NEWHALL ST']",37.74129737,-122.3871433
20238000,"['03RD ST', 'FAIRFAX AVE']",37.74188906,-122.3882003
20239000,"['EVANS AVE', '03RD ST']",37.74270315,-122.3879264
20240000,"['CUSTER AVE', '03RD ST']",37.74425941,-122.3873726
20241000,"['EVANS AVE', 'PHELPS ST']",37.74298062,-122.388455
20242000,"['PHELPS ST', 'FAIRFAX AVE']",37.74235738,-122.3890164
20243000,"['PHELPS ST', 'GALVEZ AVE']",37.74172957,-122.389581
20244000,"['DAVIDSON AVE', '03RD ST']",37.74352793,-122.3876295
20245000,"['PHELPS ST', '03RD ST']",37.74406208,-122.3875087
20246000,"['DAVIDSON AVE', 'PHELPS ST']",37.74361018,-122.3879004
20247000,"['CARGO WAY', 'ARTHUR AVE', '03RD ST']",37.74615713,-122.3871742
20250000,"['03RD ST', 'MARIN ST']",37.74900476,-122.3874563
20252000,"['QUINT ST', 'CUSTER AVE']",37.74529841,-122.3891933
20257000,"['ALANA WAY', 'THOMAS MELLON DR', 'HARNEY WAY']",37.70909466,-122.3926892
20258000,"['EXECUTIVE PARK BLVD', 'ALANA WAY']",37.70890383,-122.3944031
20259000,"['JAMESTOWN AVE', 'HARNEY WAY']",37.71116108,-122.3864519
20262000,"['SANDPIPER COVE WAY', 'THOMAS MELLON DR', 'EXECUTIVE PARK BLVD']",37.71127214,-122.392609
20263000,"['EXECUTIVE PARK BLVD', 'BLANKEN AVE']",37.71102502,-122.3948236
20264000,"['KEY AVE', 'JENNINGS ST']",37.71893209,-122.3959949
20267000,"['GILLETTE AVE', 'LATHROP AVE']",37.71004508,-122.3968393
20268000,"['GILLETTE AVE', 'BLANKEN AVE']",37.71099415,-122.3964814
20269000,"['NIBBI CT', 'GILLETTE AVE']",37.71038803,-122.39671
20271000,"['BLANKEN AVE', 'NUEVA AVE']",37.7111994,-122.3973437
20272000,"['NUEVA AVE', 'LATHROP AVE']",37.71025033,-122.3977016
20273000,"['TOCOLOMA AVE', 'LATHROP AVE']",37.71045518,-122.3985623
20274000,"['BLANKEN AVE', 'TOCOLOMA AVE']",37.71140426,-122.3982045
20281000,"['LATHROP AVE', 'PENINSULA AVE']",37.71065986,-122.3994223
20282000,"['BLANKEN AVE', 'PENINSULA AVE']",37.71160893,-122.3990645
20284000,"['WHEELER AVE', 'LATHROP AVE']",37.71086499,-122.4002843
20285000,"['BLANKEN AVE', 'WHEELER AVE']",37.71181444,-122.399928
20288000,"['TUNNEL AVE', 'LATHROP AVE']",37.71105017,-122.4010624
20289000,"['TUNNEL AVE', 'BLANKEN AVE']",37.71201631,-122.4007892
20291000,"['BAY SHORE BLVD', 'HESTER AVE']",37.71358404,-122.4000167
20295000,"['CAMPBELL AVE', 'SAN BRUNO AVE']",37.71539032,-122.3995478
20296000,"['BAY SHORE BLVD', 'TUNNEL AVE']",37.71305797,-122.400658
20298000,"['SAN BRUNO AVE', 'ARLETA AVE', 'BAY SHORE BLVD']",37.71217949,-122.4024595
20299000,"['BLANKEN AVE', 'BAY SHORE BLVD']",37.71225086,-122.4019147
20300000,"['SAN BRUNO AVE', 'BEEMAN LN']",37.71473094,-122.4004494
20301000,"['RACINE LN', 'WABASH TER', 'BEEMAN LN']",37.71433712,-122.4002115
20302000,"['BRUSSELS ST', 'CAMPBELL AVE']",37.71511451,-122.4006047
20303000,"['BRUSSELS ST', 'WILDE AVE']",37.71631731,-122.4011045
20304000,"['ALPHA ST', 'GOETTINGEN ST', 'WILDE AVE']",37.71606053,-122.4020908
20305000,"['GOETTINGEN ST', 'CAMPBELL AVE']",37.71485597,-122.4015955
20306000,"['SUNNYDALE AVE', 'BAY SHORE BLVD']",37.70885361,-122.4051095
20308000,"['VISITACION AVE', 'BAY SHORE BLVD']",37.71040922,-122.404226
20310000,"['ALPHA ST', 'RAYMOND AVE']",37.71257784,-122.4052353
20313000,"['BAY SHORE BLVD', 'LELAND AVE']",37.71118857,-122.4036501
20314000,"['ALPHA ST', 'LELAND AVE']",37.71193347,-122.4056321
20315000,"['LELAND AVE', 'DESMOND ST']",37.71161058,-122.4048034
20316000,"['DESMOND ST', 'VISITACION AVE']",37.71068283,-122.405209
20319000,"['ALPHA ST', 'ARLETA AVE']",37.71321573,-122.4048424
20320000,"['SAN BRUNO AVE', 'RACINE LN']",37.71271223,-122.4021128
20321000,"['TEDDY AVE', 'WABASH TER', 'SAN BRUNO AVE']",37.71299484,-122.4020979
20322000,"['TEDDY AVE', 'ALPHA ST']",37.71383937,-122.4044583
20323000,"['SOMERSET ST', 'SAN BRUNO AVE']",37.7135082,-122.4020958
20324000,"['CAMPBELL AVE', 'SOMERSET ST']",37.71464974,-122.4025621
20325000,"['HOLYOKE ST', 'CAMPBELL AVE']",37.71435723,-122.4035066
20328000,"['ALPHA ST', 'TIOGA AVE']",37.71555756,-122.4025614
20329000,"['CAMPBELL AVE', 'ALPHA ST']",37.71439552,-122.4038228
20330000,"['TUCKER AVE', 'ALPHA ST']",37.71496542,-122.4032032
20332000,"['RUTLAND ST', 'TUCKER AVE']",37.71592951,-122.4058951
20333000,"['CAMPBELL AVE', 'RUTLAND ST']",37.71524434,-122.4061894
20334000,"['RUTLAND ST', 'TIOGA AVE']",37.71659202,-122.4056093
20338000,"['DESMOND ST', 'SUNNYDALE AVE']",37.70916753,-122.4062281
20340000,"['SUNNYDALE AVE', 'DESMOND ST']",37.70909807,-122.4059806
20341000,"['PEABODY ST', 'SUNNYDALE AVE']",37.70959004,-122.4077336
20342000,"['SUNNYDALE AVE', 'TALBERT ST']",37.70934659,-122.4068661
20344000,"['PEABODY ST', 'VISITACION AVE']",37.71119011,-122.4070133
20345000,"['VISITACION AVE', 'TALBERT ST', 'TALBERT CT']",37.71095727,-122.4061851
20347000,"['LELAND AVE', 'PEABODY ST']",37.71228275,-122.4065286
20348000,"['CORA ST', 'VISITACION AVE']",37.71170156,-122.4088274
20349000,"['VISITACION AVE', 'RUTLAND ST']",37.71144776,-122.4079271
20352000,"['RUTLAND ST', 'SUNNYDALE AVE']",37.70984411,-122.408639
20353000,"['SUNNYDALE AVE', 'CORA ST', 'TOMASO CT']",37.71010921,-122.4095838
20355000,"['CORA ST', 'LELAND AVE']",37.71281361,-122.4083341
20356000,"['RUTLAND ST', 'LELAND AVE']",37.71254739,-122.4073478
20357000,"['RAYMOND AVE', 'RUTLAND ST']",37.71322568,-122.4070564
20358000,"['RUTLAND ST', 'ARLETA AVE']",37.71390067,-122.4067665
20359000,"['RAYMOND AVE', 'DELTA ST']",37.71379843,-122.4091939
20360000,"['DELTA ST', 'TEDDY AVE']",37.71515568,-122.4086034
20361000,"['RUTLAND ST', 'TEDDY AVE']",37.71457489,-122.4064769
20362000,"['DELTA ST', 'VISITACION AVE']",37.71195231,-122.4097284
20363000,"['LELAND AVE', 'DELTA ST']",37.71312557,-122.4094889
20364000,"['ARLETA AVE', 'DELTA ST']",37.71447896,-122.4088955
20365000,"['DELTA ST', 'CAMPBELL AVE']",37.71583541,-122.4083105
20366000,"['DELTA ST', 'SUNNYDALE AVE', 'MELRA CT']",37.71034976,-122.410441
20368000,['GARRISON AVE'],37.70964233,-122.4135143
20369000,"['SCHWERIN ST', 'GARRISON AVE']",37.70921035,-122.4119682
20370000,"['SUNNYDALE AVE', 'REY ST']",37.71086606,-122.4122812
20371000,"['SUNNYDALE AVE', 'SCHWERIN ST']",37.71060452,-122.411349
20372000,"['VISITACION AVE', 'SCHWERIN ST']",37.71220622,-122.4106408
20373000,"['ACACIA ST', 'KELLOCH AVE', 'VELASCO AVE']",37.70848388,-122.4141454
20375000,"['KELLOCH AVE', 'SCHWERIN ST']",37.70861468,-122.4122327
20376000,"['ARGONAUT AVE', 'GARRISON AVE']",37.7104261,-122.4131618
20377000,"['SUNNYDALE AVE', 'GARRISON AVE']",37.71103617,-122.4128874
20378000,"['REY ST', 'VISITACION AVE']",37.71246527,-122.4115717
20379000,"['ARGONAUT AVE', 'MCCARTHY AVE']",37.7106312,-122.4139025
20380000,"['LELAND AVE', 'SCHWERIN ST']",37.71330426,-122.4101504
20381000,"['BRITTON ST', 'VISITACION AVE']",37.71272485,-122.4125046
20382000,"['REY ST', 'LELAND AVE']",37.71355653,-122.4110844
20383000,"['ELLIOT ST', 'LELAND AVE']",37.71369702,-122.4116045
20384000,"['BRITTON ST', 'LELAND AVE']",37.71380932,-122.4120202
20385000,"['RAYMOND AVE', 'ELLIOT ST']",37.71436696,-122.4113158
20386000,"['ARLETA AVE', 'ELLIOT ST']",37.71505726,-122.4110248
20387000,"['TEDDY AVE', 'ELLIOT ST']",37.71573853,-122.4107376
20390000,"['LOEHR ST', 'VISITACION AVE']",37.71298622,-122.4134389
20392000,"['LOEHR ST', 'LELAND AVE']",37.71406318,-122.4129601
20393000,"['HAHN ST', 'LELAND AVE']",37.71456599,-122.4148218
20394000,"['SAWYER ST', 'LELAND AVE']",37.71431506,-122.4138927
20395000,"['RAYMOND AVE', 'SAWYER ST']",37.71498665,-122.4136009
20400000,"['VELASCO AVE', 'ARGONAUT AVE']",37.70866175,-122.4147779
20401000,['ARGONAUT AVE'],37.7094659,-122.4152575
20402000,"['CALGARY ST', 'VELASCO AVE', 'SAWYER ST']",37.70899534,-122.415964
20403000,"['VELASCO AVE', 'RIO VERDE ST']",37.70873803,-122.4150491
20404000,"['SUNRISE WAY', 'SAWYER ST']",37.70969487,-122.4159559
20405000,"['ARGONAUT AVE', 'BURR AVE']",37.71005513,-122.4149925
20406000,"['HAHN ST', 'SUNRISE WAY']",37.70995038,-122.4168835
20407000,"['SUNNYDALE AVE', 'SAWYER ST']",37.71165503,-122.4150805
20408000,"['BURR AVE', 'MCCARTHY AVE']",37.70984872,-122.4142544
20409000,"['SUNNYDALE AVE', 'HAHN ST']",37.71191456,-122.4160003
20410000,"['SAWYER ST', 'VISITACION AVE']",37.71324664,-122.4143698
20411000,"['PUEBLO ST', 'VELASCO AVE']",37.70923282,-122.4168084
20412000,"['VELASCO AVE', 'CASTILLO ST']",37.70947143,-122.4176569
20413000,"['VELASCO AVE', 'PASADENA ST']",37.70970884,-122.4185012
20414000,"['BLYTHDALE AVE', 'HAHN ST']",37.71047317,-122.4166485
20416000,"['HAHN ST', 'VISITACION AVE']",37.71350427,-122.4152908
20421000,"['SANTOS ST', 'GENEVA AVE']",37.70831127,-122.4200831
20422000,"['CARRIZAL ST', 'GENEVA AVE']",37.70854867,-122.4209265
20423000,"['BLYTHDALE AVE', 'SANTOS ST']",37.71073195,-122.4187718
20424000,"['CARRIZAL ST', 'VELASCO AVE']",37.71018704,-122.4202018
20425000,"['SANTOS ST', 'VELASCO AVE']",37.7099469,-122.4193478
20426000,"['CARRIZAL ST', 'PARQUE DR']",37.70991221,-122.4203215
20427000,"['GENEVA AVE', 'ESQUINA DR']",37.70874305,-122.4216173
20428000,"['GENEVA AVE', 'CIELITO DR']",37.70892736,-122.4222652
20429000,"['PARQUE DR', 'ESQUINA DR']",37.7101038,-122.4210029
20430000,"['PARQUE DR', 'CIELITO DR']",37.7102862,-122.4216516
20431000,"['BROOKDALE AVE', 'BLYTHDALE AVE']",37.71131669,-122.4222408
20432000,"['SANTOS ST', 'BROOKDALE AVE']",37.71193343,-122.418766
20433000,"['SUNNYDALE AVE', 'SANTOS ST']",37.71234915,-122.4182834
20434000,"['CORONADO ST', 'JAMESTOWN AVE']",37.71692191,-122.3907231
20435000,"['GRIFFITH ST', 'JAMESTOWN AVE']",37.71615627,-122.3900017
20436000,"['HOLLISTER AVE', 'HAWES ST']",37.71868763,-122.3905642
20438000,"['GILMAN AVE', 'HAWES ST']",37.71929847,-122.3900197
20439000,"['HAWES ST', 'INGERSON AVE']",37.71804005,-122.3911414
20441000,"['INGALLS ST', 'INGERSON AVE']",37.71911364,-122.3929815
20442000,"['INGERSON AVE', 'REDONDO ST']",37.71858493,-122.39205
20443000,"['INGALLS ST', 'GILMAN AVE']",37.7203491,-122.3918703
20444000,"['HOLLISTER AVE', 'INGALLS ST']",37.71973995,-122.3924182
20445000,"['REDONDO ST', 'JAMESTOWN AVE']",37.71795865,-122.3926133
20446000,"['JAMESTOWN AVE', 'INGALLS ST']",37.71848736,-122.3935448
20447000,"['INGALLS ST', 'EGBERT AVE']",37.72159985,-122.3907453
20448000,"['INGALLS ST', 'FITZGERALD AVE']",37.72097599,-122.3913065
20449000,"['DONNER AVE', 'INGALLS ST']",37.72222495,-122.3901831
20450000,"['INGALLS ST', 'CARROLL AVE']",37.72285144,-122.3896195
20451000,"['JENNINGS ST', 'BANCROFT AVE']",37.72454387,-122.3909243
20452000,"['CARROLL AVE', 'JENNINGS ST']",37.7239141,-122.3914919
20453000,"['EGBERT AVE', 'JENNINGS ST']",37.72265796,-122.3926097
20454000,"['FITZGERALD AVE', 'JENNINGS ST']",37.72203472,-122.393172
20455000,"['FITZGERALD AVE', '03RD ST']",37.72322233,-122.3952646
